company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
261631,세광정보통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세광정보통신
263088,송정산업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,송정산업
292173,디엠종합건설(주),4.0,1,4.0,4.0,4.0,3.0,3.0,3.0,100%,100%,100%,디엠종합건설
242019,(주)디엔피유,2.3,6,2.3,1.8,2.3,1.7,1.8,1.5,0%,17%,0%,디엔피코리아
435358,(주)가람이엔씨,2.0,2,2.0,2.0,2.0,3.5,2.5,2.0,0%,0%,0%,가람이엔씨
4074,하니웰애널리틱스(주),3.2,117,3.2,2.4,3.9,3.5,2.8,2.7,56%,52%,14%,하니웰애널리틱스
349144,동양자산관리대부(주),2.3,27,2.3,1.7,2.1,2.1,2.2,2.0,15%,22%,7%,동양자산관리대부
161529,대성특수산업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대성특수산업
136555,세광전기(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세광전기
319399,(주)넥스트씨앤씨,2.0,87,2.0,2.0,2.0,2.1,2.2,1.8,20%,29%,17%,넥스트씨앤씨
171657,원성종합건설(주),4.0,2,4.0,2.0,2.0,2.0,2.0,2.0,0%,0%,0%,원성종합건설
86827,거산(주),1.9,11,1.9,1.8,2.9,2.0,2.2,1.8,9%,0%,9%,거산
271043,대풍공업(주),1.8,33,1.8,1.6,1.6,1.8,1.9,1.5,9%,12%,3%,대풍
36271,디지테크정보(주),2.2,36,2.2,1.7,2.4,2.1,2.4,1.9,14%,28%,14%,디지테크
442249,비오케이메탈(주),3.0,1,3.0,2.0,3.0,3.0,3.0,3.0,0%,100%,0%,케이메탈
209900,가락건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,가락건설
377083,(주)세진판넬,4.0,2,4.0,3.0,3.0,4.5,4.0,4.5,50%,50%,50%,세진판넬
67962,아이씨엠코리아(주),2.9,29,2.9,2.4,3.0,2.6,2.7,2.6,31%,57%,21%,씨엠코리아
20275,에이에스이코리아(주),2.4,622,2.4,2.3,3.1,2.7,2.0,1.8,25%,19%,7%,에이에스이 칠곡지점
197534,청담산업개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,청담산업개발
285505,금성건설(주),3.0,4,3.0,1.8,3.8,2.0,3.0,2.5,0%,75%,0%,금성건설
39976,대성에너지(주),3.3,30,3.3,2.9,4.1,2.7,2.6,2.4,57%,38%,7%,대성에너지
292480,(주)그랜드관광호텔,1.8,58,1.8,1.4,2.7,2.0,1.7,1.5,3%,11%,7%,광호
130993,스카이라인스포츠(주),2.0,2,2.0,1.5,3.5,2.0,1.5,1.5,0%,0%,0%,스카이라인스포츠
341332,(주)페르소나미디어,3.7,6,3.7,3.0,2.2,4.0,3.7,3.2,67%,67%,33%,페르소나미디어
307413,도온이엔지(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,도온이엔지
128972,백송전자(주),2.6,34,2.6,2.2,2.1,2.5,2.3,2.1,26%,36%,12%,백송
341967,(주)인평,3.3,10,3.3,2.9,2.9,2.9,2.1,2.7,50%,50%,10%,인평
323117,(주)레벨13,3.9,9,3.9,3.6,4.2,4.1,4.0,3.3,67%,67%,22%,레벨13
87512,(주)아성에이치엠피,2.1,343,2.1,2.6,2.3,1.9,2.5,1.5,20%,17%,30%,에이치엠피
86211,가나씨앤피(주),2.3,9,2.3,2.2,2.2,2.2,3.2,2.2,22%,29%,22%,가나씨앤피
